 EPC, RSSI,Count,Date,Time,Product Serial,Location Serial,Product code,Qty
4D4554303131352323180004,-71.1,15,2018/07/19,19:26:10,MET0115##180004,$LOC00YAT101,H0024,1
4D4554303131352323180006,-72.9,19,2018/07/19,19:26:10,MET0115##180006,$LOC00YAT101,H0024,1
4D4554303131352323180009,-72.9,101,2018/07/19,19:26:10,MET0115##180009,$LOC00YAT101,H0024,1
4D4554303131352323180011,-67.9,16,2018/07/19,19:26:10,MET0115##180011,$LOC00YAT101,H0024,1
4D4554303131352323180014,-66.8,27,2018/07/19,19:26:10,MET0115##180014,$LOC00YAT101,H0024,1
4D4554303131352323180015,-69,14,2018/07/19,19:26:10,MET0115##180015,$LOC00YAT101,H0024,1
4D4554303131362323170019,-60.8,21,2018/07/19,19:26:10,MET0116##170019,$LOC00YAT101,H0025,1
4D4554303131362323170063,-75,17,2018/07/19,19:26:10,MET0116##170063,$LOC00YAT101,H0025,1
4D4554303131362323170064,-66.8,33,2018/07/19,19:26:10,MET0116##170064,$LOC00YAT101,H0025,1
4D4554303131362323170065,-67.9,13,2018/07/19,19:26:10,MET0116##170065,$LOC00YAT101,H0025,1
4D4554303131362323170066,-65.1,29,2018/07/19,19:26:10,MET0116##170066,$LOC00YAT101,H0025,1
4D4554303131362323170067,-75.7,9,2018/07/19,19:26:10,MET0116##170067,$LOC00YAT101,H0025,1
4D4554303131372323170118,-70.4,36,2018/07/19,19:26:10,MET0117##170118,$LOC00YAT101,H0026,1
4D4554303134362323180013,-67.9,63,2018/07/19,19:26:10,MET0146##180013,$LOC00YAT101,H0069,1
4D4554303134362323180052,-69.7,37,2018/07/19,19:26:10,MET0146##180052,$LOC00YAT101,H0069,1
4D4554303134362323180054,-69,24,2018/07/19,19:26:10,MET0146##180054,$LOC00YAT101,H0069,1
4D4554303134362323180055,-68.4,64,2018/07/19,19:26:10,MET0146##180055,$LOC00YAT101,H0069,1
4D4554303134362323180057,-70.4,85,2018/07/19,19:26:10,MET0146##180057,$LOC00YAT101,H0069,1
4D4554303134362323180058,-71.1,58,2018/07/19,19:26:10,MET0146##180058,$LOC00YAT101,H0069,1
4D4554303134372323170013,-71.9,24,2018/07/19,19:26:10,MET0147##170013,$LOC00YAT101,H0070,1
4D4554303134372323170014,-73.9,71,2018/07/19,19:26:10,MET0147##170014,$LOC00YAT101,H0070,1
4D4554303134372323180005,-53.9,27,2018/07/19,19:26:10,MET0147##180005,$LOC00YAT101,H0070,1
4D4554303134372323180007,-70.4,3,2018/07/19,19:26:10,MET0147##180007,$LOC00YAT101,H0070,1
4D4554303134372323180027,-66.8,31,2018/07/19,19:26:10,MET0147##180027,$LOC00YAT101,H0070,1
4D4554303134382323170006,-76.4,38,2018/07/19,19:26:10,MET0148##170006,$LOC00YAT101,H0071,1
4D4554303134382323180001,-74.4,2,2018/07/19,19:26:10,MET0148##180001,$LOC00YAT101,H0071,1
4D4554303134382323180002,-71.9,4,2018/07/19,19:26:10,MET0148##180002,$LOC00YAT101,H0071,1
4D4554303134382323180004,-78.9,26,2018/07/19,19:26:10,MET0148##180004,$LOC00YAT101,H0071,1
4D4554303134382323180006,-78.9,1,2018/07/19,19:26:10,MET0148##180006,$LOC00YAT101,H0071,1
4D4554303134382323180029,-77.1,15,2018/07/19,19:26:10,MET0148##180029,$LOC00YAT101,H0071,1
4D4554303138302323170005,-76.4,15,2018/07/19,19:26:10,MET0180##170005,$LOC00YAT101,K0029,1
4D4554303138302323170009,-69.7,20,2018/07/19,19:26:10,MET0180##170009,$LOC00YAT101,K0029,1
4D4554303138302323170020,-71.9,15,2018/07/19,19:26:10,MET0180##170020,$LOC00YAT101,K0029,1
4D4554303138342323180022,-67.9,30,2018/07/19,19:26:10,MET0184##180022,$LOC00YAT101,K0032,1
4D4554303138342323180023,-77.1,9,2018/07/19,19:26:10,MET0184##180023,$LOC00YAT101,K0032,1
4D4554303138342323180031,-76.4,29,2018/07/19,19:26:10,MET0184##180031,$LOC00YAT101,K0032,1
4D4554303138342323180032,-55.8,4,2018/07/19,19:26:10,MET0184##180032,$LOC00YAT101,K0032,1
4D4554303138342323180033,-67.9,4,2018/07/19,19:26:10,MET0184##180033,$LOC00YAT101,K0032,1
4D4554303138362323170004,-72.9,85,2018/07/19,19:26:10,MET0186##170004,$LOC00YAT101,K0037,1
4D4554303138362323170005,-68.4,425,2018/07/19,19:26:10,MET0186##170005,$LOC00YAT101,K0037,1
4D4554303138362323180001,-72.9,43,2018/07/19,19:26:10,MET0186##180001,$LOC00YAT101,K0037,1
4D4554303237322323170010,-68.4,30,2018/07/19,19:26:10,MET0272##170010,$LOC00YAT101,TB0047,1
4D4554303237322323170012,-79.9,2,2018/07/19,19:26:10,MET0272##170012,$LOC00YAT101,TB0047,1
4D4554303237322323170013,-64.3,66,2018/07/19,19:26:10,MET0272##170013,$LOC00YAT101,TB0047,1
4D4554303237322323170015,-65.9,14,2018/07/19,19:26:10,MET0272##170015,$LOC00YAT101,TB0047,1
4D4554303237372323170001,-69.7,60,2018/07/19,19:26:10,MET0277##170001,$LOC00YAT101,TB0054,1
4D4554303237372323170002,-71.9,34,2018/07/19,19:26:10,MET0277##170002,$LOC00YAT101,TB0054,1
4D4554303237372323170008,-65.1,4,2018/07/19,19:26:10,MET0277##170008,$LOC00YAT101,TB0054,1
4D4554303237372323170009,-76.4,33,2018/07/19,19:26:10,MET0277##170009,$LOC00YAT101,TB0054,1
4D4554303237372323170010,-77.1,45,2018/07/19,19:26:10,MET0277##170010,$LOC00YAT101,TB0054,1
4D4554303237372323170011,-78,2,2018/07/19,19:26:10,MET0277##170011,$LOC00YAT101,TB0054,1
4D4554303237372323170012,-73.9,36,2018/07/19,19:26:10,MET0277##170012,$LOC00YAT101,TB0054,1
4D4554303237372323170013,-65.9,35,2018/07/19,19:26:10,MET0277##170013,$LOC00YAT101,TB0054,1
4D4554303237372323170014,-68.4,27,2018/07/19,19:26:10,MET0277##170014,$LOC00YAT101,TB0054,1
4D4554303237372323170015,-71.1,35,2018/07/19,19:26:10,MET0277##170015,$LOC00YAT101,TB0054,1
4D4554303239312323170002,-71.9,53,2018/07/19,19:26:10,MET0291##170002,$LOC00YAT101,TB0090,1
4D4554303239312323170003,-64.3,79,2018/07/19,19:26:10,MET0291##170003,$LOC00YAT101,TB0090,1
4D4554303239312323170004,-63,64,2018/07/19,19:26:10,MET0291##170004,$LOC00YAT101,TB0090,1
4D4554303239312323170005,-59.9,81,2018/07/19,19:26:10,MET0291##170005,$LOC00YAT101,TB0090,1
4D4554303239312323170006,-71.1,14,2018/07/19,19:26:10,MET0291##170006,$LOC00YAT101,TB0090,1
4D4554303239332323170011,-70.4,1,2018/07/19,19:26:10,MET0293##170011,$LOC00YAT101,TB0114,1
4D4554303239332323170012,-57.6,31,2018/07/19,19:26:10,MET0293##170012,$LOC00YAT101,TB0114,1
4D4554303239332323170021,-56.4,32,2018/07/19,19:26:10,MET0293##170021,$LOC00YAT101,TB0114,1
4D4554303239332323170022,-62.4,31,2018/07/19,19:26:10,MET0293##170022,$LOC00YAT101,TB0114,1
4D4554303239332323170032,-63.6,24,2018/07/19,19:26:10,MET0293##170032,$LOC00YAT101,TB0114,1
4D4554303239332323170036,-59.1,35,2018/07/19,19:26:10,MET0293##170036,$LOC00YAT101,TB0114,1
4D4554303239332323170037,-73.9,56,2018/07/19,19:26:10,MET0293##170037,$LOC00YAT101,TB0114,1
4D4554303239342323180002,-71.1,20,2018/07/19,19:26:10,MET0294##180002,$LOC00YAT101,TB0117,1
4D4554303239342323180003,-65.1,10,2018/07/19,19:26:10,MET0294##180003,$LOC00YAT101,TB0117,1
4D4554303239342323180004,-71.1,49,2018/07/19,19:26:10,MET0294##180004,$LOC00YAT101,TB0117,1
4D4554303239342323180005,-75.7,71,2018/07/19,19:26:10,MET0294##180005,$LOC00YAT101,TB0117,1
4D4554303239342323180011,-69,51,2018/07/19,19:26:10,MET0294##180011,$LOC00YAT101,TB0117,1
4D4554303239342323180029,-74.4,27,2018/07/19,19:26:10,MET0294##180029,$LOC00YAT101,TB0117,1
4D4554303239352323170001,-71.1,52,2018/07/19,19:26:10,MET0295##170001,$LOC00YAT101,TB0118,1
4D4554303239352323170004,-72.9,86,2018/07/19,19:26:10,MET0295##170004,$LOC00YAT101,TB0118,1
4D4554303239352323170016,-69.7,87,2018/07/19,19:26:10,MET0295##170016,$LOC00YAT101,TB0118,1
4D4554303239352323170017,-62.4,48,2018/07/19,19:26:10,MET0295##170017,$LOC00YAT101,TB0118,1
4D4554303239352323180009,-64.3,39,2018/07/19,19:26:10,MET0295##180009,$LOC00YAT101,TB0118,1
4D4554303239352323180010,-66.8,44,2018/07/19,19:26:10,MET0295##180010,$LOC00YAT101,TB0118,1
4D4554303239362323170037,-73.9,44,2018/07/19,19:26:10,MET0296##170037,$LOC00YAT101,TB0120,1
4D4554303239362323180008,-71.9,5,2018/07/19,19:26:10,MET0296##180008,$LOC00YAT101,TB0120,1
4D4554303239362323180009,-58.3,10,2018/07/19,19:26:10,MET0296##180009,$LOC00YAT101,TB0120,1
4D4554303239362323180010,-65.9,5,2018/07/19,19:26:10,MET0296##180010,$LOC00YAT101,TB0120,1
4D4554303239362323180012,-69,23,2018/07/19,19:26:10,MET0296##180012,$LOC00YAT101,TB0120,1
4D4554303239372323170050,-70.4,22,2018/07/19,19:26:10,MET0297##170050,$LOC00YAT101,TB0122,1
4D4554303239372323180001,-68.4,4,2018/07/19,19:26:10,MET0297##180001,$LOC00YAT101,TB0122,1
4D4554303239372323180003,-73.9,8,2018/07/19,19:26:10,MET0297##180003,$LOC00YAT101,TB0122,1
4D4554303239372323180005,-64.3,36,2018/07/19,19:26:10,MET0297##180005,$LOC00YAT101,TB0122,1
4D4554303239372323180007,-73.9,81,2018/07/19,19:26:10,MET0297##180007,$LOC00YAT101,TB0122,1
4D4554303239372323180008,-69.7,40,2018/07/19,19:26:10,MET0297##180008,$LOC00YAT101,TB0122,1
4D4554303330312323180030,-75.7,17,2018/07/19,19:26:10,MET0301##180030,$LOC00YAT101,TB0129GR,1
4D4554303330382323170004,-57,43,2018/07/19,19:26:10,MET0308##170004,$LOC00YAT101,TB0143,1
4D4554303330382323170006,-63.6,19,2018/07/19,19:26:10,MET0308##170006,$LOC00YAT101,TB0143,1
4D4554303330382323170009,-55.8,56,2018/07/19,19:26:10,MET0308##170009,$LOC00YAT101,TB0143,1
4D4554303330382323170019,-61.8,16,2018/07/19,19:26:10,MET0308##170019,$LOC00YAT101,TB0143,1
4D4554303331302323180001,-68.4,14,2018/07/19,19:26:10,MET0310##180001,$LOC00YAT101,TB0145,1
4D4554303331302323180005,-78.9,30,2018/07/19,19:26:10,MET0310##180005,$LOC00YAT101,TB0145,1
4D4554303331302323180006,-66.8,64,2018/07/19,19:26:10,MET0310##180006,$LOC00YAT101,TB0145,1
4D4554303331302323180007,-69,69,2018/07/19,19:26:10,MET0310##180007,$LOC00YAT101,TB0145,1
4D4554303331312323170004,-72.9,72,2018/07/19,19:26:10,MET0311##170004,$LOC00YAT101,TB0146,1
4D4554303331312323170016,-68.4,83,2018/07/19,19:26:10,MET0311##170016,$LOC00YAT101,TB0146,1
4D4554303331312323170017,-60.8,91,2018/07/19,19:26:10,MET0311##170017,$LOC00YAT101,TB0146,1
4D4554303130312323180004,-77.1,4,2018/07/19,19:27:24,MET0101##180004,$LOC00YAT101,H0010,1
4D4554303130312323180006,-65.1,8,2018/07/19,19:27:24,MET0101##180006,$LOC00YAT101,H0010,1
4D4554303131342323170022,-71.9,4,2018/07/19,19:27:24,MET0114##170022,$LOC00YAT101,H0023,1
4D4554303134372323180029,-73.9,5,2018/07/19,19:27:24,MET0147##180029,$LOC00YAT101,H0070,1
4D4554303134382323170009,-78,6,2018/07/19,19:27:24,MET0148##170009,$LOC00YAT101,H0071,1
4D4554303138302323170008,-71.9,4,2018/07/19,19:27:24,MET0180##170008,$LOC00YAT101,K0029,1
4D4554303138302323170010,-78.9,7,2018/07/19,19:27:24,MET0180##170010,$LOC00YAT101,K0029,1
4D4554303035302323180001,1,1,2018/06/07,15:18:24,MET0050##180001,$LOC00MWA101,D0050,1
4D4554303035302323180002,1,1,2018/06/07,15:18:24,MET0050##180002,$LOC00MWA101,D0050,1
4D4554303035302323180003,1,1,2018/06/07,15:18:24,MET0050##180003,$LOC00MWA101,D0050,1
4D4554303035302323180004,1,1,2018/06/07,15:18:24,MET0050##180004,$LOC00MWA101,D0050,1
4D4554303035302323180005,1,1,2018/06/07,15:18:24,MET0050##180005,$LOC00MWA101,D0050,1
4D4554303035302323180006,1,1,2018/06/07,15:18:24,MET0050##180006,$LOC00MWA101,D0050,1
4D4554303035302323180007,1,1,2018/06/07,15:18:24,MET0050##180007,$LOC00MWA101,D0050,1
4D4554303035302323180008,1,1,2018/06/07,15:18:24,MET0050##180008,$LOC00MWA101,D0050,1
4D4554303035302323180009,1,1,2018/06/07,15:18:24,MET0050##180009,$LOC00MWA101,D0050,1
4D4554303035302323180010,1,1,2018/06/07,15:18:24,MET0050##180010,$LOC00MWA101,D0050,1
4D4554303035302323180011,1,1,2018/06/07,15:18:24,MET0050##180011,$LOC00MWA101,D0050,1
4D4554303035302323180012,1,1,2018/06/07,15:18:24,MET0050##180012,$LOC00MWA101,D0050,1
4D4554303035302323180013,1,1,2018/06/07,15:18:24,MET0050##180013,$LOC00MWA101,D0050,1
4D4554303035302323180014,1,1,2018/06/07,15:18:24,MET0050##180014,$LOC00MWA101,D0050,1
4D4554303035302323180015,1,1,2018/06/07,15:18:24,MET0050##180015,$LOC00MWA101,D0050,1
4D4554303035302323180016,1,1,2018/06/07,15:18:24,MET0050##180016,$LOC00MWA101,D0050,1
4D4554303035302323180017,1,1,2018/06/07,15:18:24,MET0050##180017,$LOC00MWA101,D0050,1
4D4554303035302323180018,1,1,2018/06/07,15:18:24,MET0050##180018,$LOC00MWA101,D0050,1
4D4554303035302323180019,1,1,2018/06/07,15:18:24,MET0050##180019,$LOC00MWA101,D0050,1
4D4554303035302323180020,1,1,2018/06/07,15:18:24,MET0050##180020,$LOC00MWA101,D0050,1
4D4554303138342323180034,1,1,2018/06/07,15:21:11,MET0184##180034,$LOC00MWA101,K0032,1
4D4554303138342323180035,1,1,2018/06/07,15:21:11,MET0184##180035,$LOC00MWA101,K0032,1
4D4554303138342323180036,1,1,2018/06/07,15:21:11,MET0184##180036,$LOC00MWA101,K0032,1
4D4554303138342323180037,1,1,2018/06/07,15:21:11,MET0184##180037,$LOC00MWA101,K0032,1
4D4554303138342323180038,1,1,2018/06/07,15:21:11,MET0184##180038,$LOC00MWA101,K0032,1
4D4554303138342323180039,1,1,2018/06/07,15:21:11,MET0184##180039,$LOC00MWA101,K0032,1
4D4554303138342323180040,1,1,2018/06/07,15:21:11,MET0184##180040,$LOC00MWA101,K0032,1
4D4554303138342323180041,1,1,2018/06/07,15:21:11,MET0184##180041,$LOC00MWA101,K0032,1
4D4554303138342323180042,1,1,2018/06/07,15:21:11,MET0184##180042,$LOC00MWA101,K0032,1
4D4554303138342323180043,1,1,2018/06/07,15:21:11,MET0184##180043,$LOC00MWA101,K0032,1
4D4554303138342323180044,1,1,2018/06/07,15:21:11,MET0184##180044,$LOC00MWA101,K0032,1
4D4554303138342323180045,1,1,2018/06/07,15:21:11,MET0184##180045,$LOC00MWA101,K0032,1
4D4554303138342323180046,1,1,2018/06/07,15:21:11,MET0184##180046,$LOC00MWA101,K0032,1
4D4554303138342323180047,1,1,2018/06/07,15:21:11,MET0184##180047,$LOC00MWA101,K0032,1
4D4554303138342323180048,1,1,2018/06/07,15:21:11,MET0184##180048,$LOC00MWA101,K0032,1
4D4554303138342323180049,1,1,2018/06/07,15:21:11,MET0184##180049,$LOC00MWA101,K0032,1
4D4554303138342323180050,1,1,2018/06/07,15:21:11,MET0184##180050,$LOC00MWA101,K0032,1
4D4554303134362323180059,1,1,2018/06/07,15:22:17,MET0146##180059,$LOC00MWA101,H0069,1
4D4554303134362323180060,1,1,2018/06/07,15:22:17,MET0146##180060,$LOC00MWA101,H0069,1
4D4554303134362323180061,1,1,2018/06/07,15:22:17,MET0146##180061,$LOC00MWA101,H0069,1
4D4554303134362323180062,1,1,2018/06/07,15:22:17,MET0146##180062,$LOC00MWA101,H0069,1
4D4554303134362323180063,1,1,2018/06/07,15:22:17,MET0146##180063,$LOC00MWA101,H0069,1
4D4554303134362323180064,1,1,2018/06/07,15:22:17,MET0146##180064,$LOC00MWA101,H0069,1
4D4554303134362323180065,1,1,2018/06/07,15:22:17,MET0146##180065,$LOC00MWA101,H0069,1
4D4554303134362323180066,1,1,2018/06/07,15:22:17,MET0146##180066,$LOC00MWA101,H0069,1
4D4554303134362323180067,1,1,2018/06/07,15:22:17,MET0146##180067,$LOC00MWA101,H0069,1
4D4554303134362323180068,1,1,2018/06/07,15:22:17,MET0146##180068,$LOC00MWA101,H0069,1
4D4554303134362323180069,1,1,2018/06/07,15:22:17,MET0146##180069,$LOC00MWA101,H0069,1
4D4554303134362323180070,1,1,2018/06/07,15:22:17,MET0146##180070,$LOC00MWA101,H0069,1
4D4554303330312323180001,1,1,2018/04/19,15:51:31,MET0301##180001,$LOC00MWA101,TB0129GR,1
4D4554303330312323180004,1,1,2018/04/19,15:51:31,MET0301##180004,$LOC00MWA101,TB0129GR,1
4D4554303330312323180005,1,1,2018/04/19,15:51:31,MET0301##180005,$LOC00MWA101,TB0129GR,1
4D4554303330312323180006,1,1,2018/04/19,15:51:31,MET0301##180006,$LOC00MWA101,TB0129GR,1
4D4554303330312323180007,1,1,2018/04/19,15:51:31,MET0301##180007,$LOC00MWA101,TB0129GR,1
4D4554303330312323180008,1,1,2018/04/19,15:51:31,MET0301##180008,$LOC00MWA101,TB0129GR,1
4D4554303330312323180009,1,1,2018/04/19,15:51:31,MET0301##180009,$LOC00MWA101,TB0129GR,1
4D4554303330312323180010,1,1,2018/04/19,15:51:31,MET0301##180010,$LOC00MWA101,TB0129GR,1
4D4554303330312323180011,1,1,2018/04/19,15:51:31,MET0301##180011,$LOC00MWA101,TB0129GR,1
4D4554303330312323180012,1,1,2018/04/19,15:51:31,MET0301##180012,$LOC00MWA101,TB0129GR,1
4D4554303330312323180013,1,1,2018/04/19,15:51:31,MET0301##180013,$LOC00MWA101,TB0129GR,1
4D4554303330312323180015,1,1,2018/04/19,15:51:31,MET0301##180015,$LOC00MWA101,TB0129GR,1
4D4554303330312323180016,1,1,2018/04/19,15:51:31,MET0301##180016,$LOC00MWA101,TB0129GR,1
4D4554303330312323180017,1,1,2018/04/19,15:51:31,MET0301##180017,$LOC00MWA101,TB0129GR,1
4D4554303330312323180018,1,1,2018/04/19,15:51:31,MET0301##180018,$LOC00MWA101,TB0129GR,1
4D4554303330312323180019,1,1,2018/04/19,15:51:31,MET0301##180019,$LOC00MWA101,TB0129GR,1
4D4554303330312323180020,1,1,2018/04/19,15:51:31,MET0301##180020,$LOC00MWA101,TB0129GR,1
4D4554303330312323180021,1,1,2018/04/19,15:51:31,MET0301##180021,$LOC00MWA101,TB0129GR,1
4D4554303330312323180022,1,1,2018/04/19,15:51:31,MET0301##180022,$LOC00MWA101,TB0129GR,1
4D4554303330312323180023,1,1,2018/04/19,15:51:31,MET0301##180023,$LOC00MWA101,TB0129GR,1
4D4554303330312323180024,1,1,2018/04/19,15:51:31,MET0301##180024,$LOC00MWA101,TB0129GR,1
4D4554303330312323180025,1,1,2018/04/19,15:51:31,MET0301##180025,$LOC00MWA101,TB0129GR,1
4D4554303330312323180026,1,1,2018/04/19,15:51:31,MET0301##180026,$LOC00MWA101,TB0129GR,1
4D4554303330312323180027,1,1,2018/04/19,15:51:31,MET0301##180027,$LOC00MWA101,TB0129GR,1
4D4554303330312323180028,1,1,2018/04/19,15:51:31,MET0301##180028,$LOC00MWA101,TB0129GR,1
4D4554303330312323180029,1,1,2018/04/19,15:51:31,MET0301##180029,$LOC00MWA101,TB0129GR,1
4D4554303239362323180001,1,1,2018/04/19,15:53:03,MET0296##180001,$LOC00MWA101,TB0120,1
4D4554303239362323180004,1,1,2018/04/19,15:53:03,MET0296##180004,$LOC00MWA101,TB0120,1
4D4554303239362323180013,1,1,2018/04/19,15:53:03,MET0296##180013,$LOC00MWA101,TB0120,1
4D4554303239362323180014,1,1,2018/04/19,15:53:03,MET0296##180014,$LOC00MWA101,TB0120,1
4D4554303239362323180015,1,1,2018/04/19,15:53:03,MET0296##180015,$LOC00MWA101,TB0120,1
4D4554303239362323180016,1,1,2018/04/19,15:53:03,MET0296##180016,$LOC00MWA101,TB0120,1
4D4554303239362323180017,1,1,2018/04/19,15:53:03,MET0296##180017,$LOC00MWA101,TB0120,1
4D4554303239362323180018,1,1,2018/04/19,15:53:03,MET0296##180018,$LOC00MWA101,TB0120,1
4D4554303239362323180019,1,1,2018/04/19,15:53:03,MET0296##180019,$LOC00MWA101,TB0120,1
4D4554303239362323180020,1,1,2018/04/19,15:53:03,MET0296##180020,$LOC00MWA101,TB0120,1
4D4554303239362323180021,1,1,2018/04/19,15:53:03,MET0296##180021,$LOC00MWA101,TB0120,1
4D4554303239362323180022,1,1,2018/04/19,15:53:03,MET0296##180022,$LOC00MWA101,TB0120,1
4D4554303239362323180023,1,1,2018/04/19,15:53:03,MET0296##180023,$LOC00MWA101,TB0120,1
4D4554303239362323180024,1,1,2018/04/19,15:53:03,MET0296##180024,$LOC00MWA101,TB0120,1
4D4554303239362323180025,1,1,2018/04/19,15:53:03,MET0296##180025,$LOC00MWA101,TB0120,1
4D4554303239362323180026,1,1,2018/04/19,15:53:03,MET0296##180026,$LOC00MWA101,TB0120,1
4D4554303239362323180027,1,1,2018/04/19,15:53:03,MET0296##180027,$LOC00MWA101,TB0120,1
4D4554303239362323180028,1,1,2018/04/19,15:53:03,MET0296##180028,$LOC00MWA101,TB0120,1
4D4554303239362323180029,1,1,2018/04/19,15:53:03,MET0296##180029,$LOC00MWA101,TB0120,1
4D4554303239372323180009,1,1,2018/04/19,15:54:26,MET0297##180009,$LOC00MWA101,TB0122,1
4D4554303239372323180010,1,1,2018/04/19,15:54:26,MET0297##180010,$LOC00MWA101,TB0122,1
4D4554303239372323180011,1,1,2018/04/19,15:54:26,MET0297##180011,$LOC00MWA101,TB0122,1
4D4554303239372323180012,1,1,2018/04/19,15:54:26,MET0297##180012,$LOC00MWA101,TB0122,1
4D4554303239372323180013,1,1,2018/04/19,15:54:26,MET0297##180013,$LOC00MWA101,TB0122,1
4D4554303239372323180014,1,1,2018/04/19,15:54:26,MET0297##180014,$LOC00MWA101,TB0122,1
4D4554303239372323180015,1,1,2018/04/19,15:54:26,MET0297##180015,$LOC00MWA101,TB0122,1
4D4554303239372323180016,1,1,2018/04/19,15:54:26,MET0297##180016,$LOC00MWA101,TB0122,1
4D4554303239372323180017,1,1,2018/04/19,15:54:26,MET0297##180017,$LOC00MWA101,TB0122,1
4D4554303239372323180018,1,1,2018/04/19,15:54:26,MET0297##180018,$LOC00MWA101,TB0122,1
4D4554303239372323180019,1,1,2018/04/19,15:54:26,MET0297##180019,$LOC00MWA101,TB0122,1
4D4554303239372323180020,1,1,2018/04/19,15:54:26,MET0297##180020,$LOC00MWA101,TB0122,1
4D4554303239372323180021,1,1,2018/04/19,15:54:26,MET0297##180021,$LOC00MWA101,TB0122,1
4D4554303239372323180022,1,1,2018/04/19,15:54:26,MET0297##180022,$LOC00MWA101,TB0122,1
4D4554303239372323180023,1,1,2018/04/19,15:54:26,MET0297##180023,$LOC00MWA101,TB0122,1
4D4554303239372323180024,1,1,2018/04/19,15:54:26,MET0297##180024,$LOC00MWA101,TB0122,1
4D4554303239372323180025,1,1,2018/04/19,15:54:26,MET0297##180025,$LOC00MWA101,TB0122,1
4D4554303239372323180026,1,1,2018/04/19,15:54:26,MET0297##180026,$LOC00MWA101,TB0122,1
4D4554303239372323180027,1,1,2018/04/19,15:54:26,MET0297##180027,$LOC00MWA101,TB0122,1
4D4554303239372323180028,1,1,2018/04/19,15:54:26,MET0297##180028,$LOC00MWA101,TB0122,1
4D4554303239372323180029,1,1,2018/04/19,15:54:26,MET0297##180029,$LOC00MWA101,TB0122,1
